model_id,fc,rm,fold,n_train_pres,n_test_pres,auc_test,omit10_test
fc_lq_rm_1.5,lq,1.5,2,292,73,0.811213698630137,0.0547945205479452
fc_lq_rm_1.5,lq,1.5,3,292,73,0.7937082191780822,0.0821917808219178
fc_lq_rm_1.5,lq,1.5,4,292,73,0.7897082191780822,0.1232876712328767
fc_lq_rm_1.5,lq,1.5,5,292,73,0.7631054794520548,0.1917808219178082
fc_lq_rm_2,lq,2,1,292,73,0.796717808219178,0.1095890410958904
fc_lq_rm_2,lq,2,2,292,73,0.8096438356164384,0.0410958904109589
fc_lq_rm_2,lq,2,3,292,73,0.7946671232876712,0.0821917808219178
fc_lq_rm_2,lq,2,4,292,73,0.7875835616438356,0.136986301369863
fc_lq_rm_2,lq,2,5,292,73,0.7607383561643836,0.1780821917808219
fc_lq_rm_3,lq,3,1,292,73,0.7941534246575342,0.1095890410958904
fc_lq_rm_3,lq,3,2,292,73,0.8070602739726027,0.0273972602739726
fc_lq_rm_3,lq,3,3,292,73,0.7916164383561644,0.0821917808219178
fc_lq_rm_3,lq,3,4,292,73,0.7838328767123288,0.1232876712328767
fc_lq_rm_3,lq,3,5,292,73,0.7565534246575343,0.136986301369863
fc_lqh_rm_0.5,lqh,0.5,1,292,73,0.8602232876712329,0.0821917808219178
fc_lqh_rm_0.5,lqh,0.5,2,292,73,0.8673356164383562,0.0821917808219178
fc_lqh_rm_0.5,lqh,0.5,3,292,73,0.8671958904109589,0.0821917808219178
fc_lqh_rm_0.5,lqh,0.5,4,292,73,0.8551534246575343,0.1506849315068493
fc_lqh_rm_0.5,lqh,0.5,5,292,73,0.8396794520547946,0.1780821917808219
fc_lqh_rm_1,lqh,1,1,292,73,0.8601890410958904,0.0958904109589041
fc_lqh_rm_1,lqh,1,2,292,73,0.8657794520547946,0.0958904109589041
fc_lqh_rm_1,lqh,1,3,292,73,0.8639178082191781,0.0684931506849315
fc_lqh_rm_1,lqh,1,4,292,73,0.85455479452054794,0.1506849315068493
fc_lqh_rm_1,lqh,1,5,292,73,0.8377452054794521,0.1643835616438356
fc_lqh_rm_1.5,lqh,1.5,1,292,73,0.8592191780821917,0.0958904109589041
fc_lqh_rm_1.5,lqh,1.5,2,292,73,0.8635123287671232,0.0958904109589041
fc_lqh_rm_1.5,lqh,1.5,3,292,73,0.859313698630137,0.0684931506849315
fc_lqh_rm_1.5,lqh,1.5,4,292,73,0.8533904109589041,0.1095890410958904
fc_lqh_rm_1.5,lqh,1.5,5,292,73,0.8366287671232877,0.1643835616438356
fc_lqh_rm_2,lqh,2,1,292,73,0.8586547945205479,0.0958904109589041
fc_lqh_rm_2,lqh,2,2,292,73,0.8628315068493151,0.0958904109589041
fc_lqh_rm_2,lqh,2,3,292,73,0.8573602739726027,0.0684931506849315
fc_lqh_rm_2,lqh,2,4,292,73,0.8533123287671233,0.0958904109589041
fc_lqh_rm_2,lqh,2,5,292,73,0.8356506849315068,0.1643835616438356
fc_lqh_rm_3,lqh,3,1,292,73,0.8571479452054794,0.0958904109589041
fc_lqh_rm_3,lqh,3,2,292,73,0.861486301369863,0.0958904109589041
fc_lqh_rm_3,lqh,3,3,292,73,0.8555027397260274,0.0684931506849315
fc_lqh_rm_3,lqh,3,4,292,73,0.8526410958904109,0.0958904109589041
fc_lqh_rm_3,lqh,3,5,292,73,0.8335493150684932,0.1780821917808219
fc_lqhp_rm_0.5,lqhp,0.5,1,292,73,0.8587575342465753,0.0821917808219178
fc_lqhp_rm_0.5,lqhp,0.5,2,292,73,0.8669150684931507,0.0821917808219178
fc_lqhp_rm_0.5,lqhp,0.5,3,292,73,0.8649493150684932,0.0821917808219178
fc_lqhp_rm_0.5,lqhp,0.5,4,292,73,0.8559232876712328,0.1506849315068493
fc_lqhp_rm_0.5,lqhp,0.5,5,292,73,0.8402191780821918,0.1643835616438356
