gbifID,scientificName,decimalLatitude,decimalLongitude,year,eventDate
4945775713,Lontra canadensis,30.119338,-97.570767,2024,2024-04-04
4945611407,Lontra canadensis,29.925099,-97.899792,2024,2024-02-24
4936873641,Lontra canadensis,32.686305,-96.746291,2024,2024-08-27
4936612672,Lontra canadensis,30.816114,-97.637666,2024,2024-08-20
4936318513,Lontra canadensis,30.991183,-97.661009,2024,2024-08-20
4926275292,Lontra canadensis,29.921868,-97.939913,2024,2024-08-16
4926089535,Lontra canadensis,32.793422,-94.341129,2024,2024-07-26
4924062911,Lontra canadensis,31.855923,-95.064652,2024,2024-08-08
4923852562,Lontra canadensis,31.197644,-97.8545,2024,2024-08-11
4923800200,Lontra canadensis,28.61459,-97.367541,2023,2023-07-29
4921877911,Lontra canadensis,30.958957,-97.788646,2024,2024-07-24
4921719876,Lontra canadensis,31.070592,-97.936826,2024,2024-08-04
4921432494,Lontra canadensis,30.83445,-97.615661,2024,2024-07-23
4919426664,Lontra canadensis,32.777149,-96.667047,2024,2024-07-30
4911025315,Lontra canadensis,30.819248,-97.643166,2024,2024-07-14
4909050245,Lontra canadensis,32.290032,-96.994729,2024,2024-07-12
4908774346,Lontra canadensis,33.538602,-94.434939,2023,2023-12-16
4908618654,Lontra canadensis,31.209101,-96.406381,2023,2023-12-31
4908576516,Lontra canadensis,32.273892,-96.954638,2024,2024-07-10
4903794038,Lontra canadensis,30.186057,-97.16577,2024,2024-06-06
4891284067,Lontra canadensis,29.420926,-94.890572,2024,2024-01-21
4872639517,Lontra canadensis,30.785807,-97.771973,2024,2024-05-21
4872366794,Lontra canadensis,29.439976,-95.568217,2024,2024-05-23
4868153796,Lontra canadensis,32.806971,-96.61959,2023,2023-01-30
4868060532,Lontra canadensis,29.824916,-97.924849,2023,2023-12-03
4867976495,Lontra canadensis,30.897304,-97.695518,2024,2024-05-11
4855039432,Lontra canadensis,29.542063,-95.271011,2023,2023-12-15
4853064173,Lontra canadensis,30.744428,-97.750737,2024,2024-03-26
4852508787,Lontra canadensis,30.718501,-97.703545,2024,2024-04-29
4852496583,Lontra canadensis,30.391026,-95.455642,2024,2024-04-17
4851824854,Lontra canadensis,32.920625,-96.608744,2024,2024-04-15
4847145420,Lontra canadensis,33.046963,-96.630695,2024,2024-04-11
4607203223,Lontra canadensis,33.163127,-96.439999,2024,2024-04-02
4607094011,Lontra canadensis,29.700425,-95.290732,2024,2024-04-03
4606874609,Lontra canadensis,29.888351,-95.751458,2024,2024-03-30
4606832824,Lontra canadensis,30.786192,-97.367855,2019,2019-06-12
4606637488,Lontra canadensis,32.868048,-97.36812,2024,2024-03-26
4600199727,Lontra canadensis,32.686728,-94.056566,2024,2024-03-25
4599904183,Lontra canadensis,28.8113,-96.854254,2024,2024-03-23
4599882699,Lontra canadensis,32.663142,-94.181761,2024,2024-03-25
4599861969,Lontra canadensis,32.665994,-97.010482,2024,2024-03-20
